32,50,0.500000
32,52,0.500000
44,6,0.142857
44,29,0.142857
44,49,0.142857
44,55,0.142857
44,71,0.142857
44,90,0.142857
44,99,0.142857
143,56,0.500000
143,95,0.500000
144,18,0.500000
144,83,0.500000
209,19,0.142857
209,23,0.142857
209,29,1.000000
209,44,0.142857
209,45,0.142857
209,46,0.142857
209,49,1.000000
209,51,0.142857
209,59,0.142857
265,58,1.000000
265,73,1.000000
277,28,0.500000
277,31,0.500000
353,0,0.142857
365,0,0.500000
366,0,0.142857
370,0,0.142857
375,0,0.500000
376,0,0.142857
378,0,0.500000
391,0,0.142857
392,0,0.142857
393,0,0.142857
396,0,0.142857
397,0,0.500000
398,0,0.142857
399,0,0.500000
402,0,0.142857
403,0,0.500000
405,0,1.000000
406,0,0.142857
418,0,0.142857
420,0,1.000000
430,0,0.500000
437,0,0.142857
442,0,0.500000
446,0,0.142857
