14,1608,13,0,1
19,1624,20,1,0
33,1614,32,1,2
41,1624,42,2,1
63,1624,64,2,1
85,1624,86,2,1
107,1624,108,2,1
129,1624,130,2,1
151,1624,152,2,1
173,1624,174,2,1
195,1624,196,2,1
217,1624,218,2,1
225,1624,247,3,0
226,1624,248,3,0
227,1624,249,3,0
239,1624,240,2,1
247,1624,248,2,1
248,1624,249,2,1
249,1624,1624,4,0
269,1624,247,0,3
270,1624,248,0,3
271,1624,249,0,3
323,1671,322,1,2
905,1679,883,0,3
1325,1624,1347,3,0
1368,1624,1369,2,1
1466,1672,1467,2,1
1493,1624,1494,2,1
1515,1624,1516,2,1
1537,1624,1538,2,1
1559,1624,1560,2,1
1581,1624,1582,2,1
1594,1626,184,0,4
1604,1609,887,0,4
1605,1624,225,0,4
1608,1624,245,0,4
1609,1604,881,0,4
1611,1624,245,0,4
1624,1598,249,0,4
1624,1605,249,0,4
1624,1608,249,0,4
1624,1611,249,0,4
1624,1622,249,0,4
1624,1623,249,0,4
1624,1633,249,0,4
1624,1638,249,0,4
1624,1653,249,0,4
1624,1657,249,0,4
1624,1664,249,0,4
1626,1594,206,0,4
1653,1624,245,0,4
1657,1624,246,0,4
1664,1668,183,0,4
1668,1664,210,0,4
