2,420,3,1,0
20,421,21,2,1
22,392,21,1,2
29,420,16,0,3
33,392,32,1,2
46,392,45,1,2
47,392,46,1,2
163,448,162,1,2
164,365,165,2,1
165,442,166,2,1
166,442,167,2,1
167,442,168,2,1
168,442,442,95,0
185,388,388,41,0
249,398,236,0,3
250,398,237,0,3
256,401,243,0,3
312,392,299,0,2
328,420,420,73,0
336,420,337,2,1
339,420,340,2,1
340,420,341,2,1
352,388,184,0,5
353,424,17,0,6
354,363,50,0,7
354,367,253,0,7
355,388,184,0,8
358,419,235,0,11
361,388,184,0,14
362,433,169,0,15
363,354,50,0,16
364,388,184,0,17
365,450,5,0,18
367,354,253,0,20
367,388,239,0,20
371,385,146,0,24
372,416,222,0,25
375,412,157,0,28
385,371,130,0,38
387,388,184,0,40
388,352,185,0,41
388,355,185,0,41
388,361,185,0,41
388,364,185,0,41
388,367,239,0,41
388,379,185,0,41
388,381,185,0,41
388,387,185,0,41
388,389,185,0,41
388,395,185,0,41
388,409,185,0,41
388,412,185,0,41
388,433,185,0,41
389,388,184,0,42
389,422,143,0,42
389,446,5,0,42
392,363,32,0,45
392,401,32,0,45
392,444,31,0,45
395,388,184,0,48
399,409,182,0,52
401,435,164,0,54
409,388,184,0,62
409,399,182,0,62
412,375,157,0,65
412,388,184,0,65
416,372,222,0,69
419,358,235,0,72
422,389,143,0,75
424,353,17,0,77
433,362,169,0,86
433,388,184,0,86
435,401,151,0,88
444,392,31,0,97
446,389,5,0,99
450,365,5,0,103
